Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,180,[  10.        1581.6016473],[  0.        116.9366824],[  10.         1270.13303769],[  10.         1943.36936095],"[13, 17, 15, 18, 19, 14, 16, 12, 11, 10, 9, 8, 6, 28, 38, 37, 39, 35, 36, 33, 34, 32, 31, 29, 30, 52, 27, 40, 41, 42, 44, 45, 43, 46, 48, 47, 49, 50, 51, 68, 69, 64, 66, 61, 59, 67, 57, 55, 54, 53, 56, 58, 60, 72, 62, 74, 65, 63, 87, 86, 89, 88, 90, 84, 85, 83, 91, 82, 98, 75, 1, 2, 5, 95, 96, 94, 97, 93, 99, 92, 100, 4, 3, 7, 23, 78, 76, 81, 77, 79, 73, 71, 70, 80, 20, 21, 26, 25, 22, 24]","(10.0, 1270.1330376914173)"
1,172,[  10.         1515.58720649],[ 0.         67.53342275],[  10.         1270.13303769],[  10.         1615.85047388],"[13, 17, 15, 18, 19, 14, 16, 12, 11, 10, 9, 8, 6, 28, 38, 37, 39, 35, 36, 33, 34, 32, 31, 29, 30, 52, 27, 40, 41, 42, 44, 45, 43, 46, 48, 47, 49, 50, 51, 68, 69, 64, 66, 61, 59, 67, 57, 55, 54, 53, 56, 58, 60, 72, 62, 74, 65, 63, 87, 86, 89, 88, 90, 84, 85, 83, 91, 82, 98, 75, 1, 2, 5, 95, 96, 94, 97, 93, 99, 92, 100, 4, 3, 7, 23, 78, 76, 81, 77, 79, 73, 71, 70, 80, 20, 21, 26, 25, 22, 24]","(10.0, 1270.1330376914173)"
2,172,[  10.         1484.04817639],[ 0.         59.24760393],[  10.         1270.13303769],[  10.         1560.91832595],"[13, 17, 15, 18, 19, 14, 16, 12, 11, 10, 9, 8, 6, 28, 38, 37, 39, 35, 36, 33, 34, 32, 31, 29, 30, 52, 27, 40, 41, 42, 44, 45, 43, 46, 48, 47, 49, 50, 51, 68, 69, 64, 66, 61, 59, 67, 57, 55, 54, 53, 56, 58, 60, 72, 62, 74, 65, 63, 87, 86, 89, 88, 90, 84, 85, 83, 91, 82, 98, 75, 1, 2, 5, 95, 96, 94, 97, 93, 99, 92, 100, 4, 3, 7, 23, 78, 76, 81, 77, 79, 73, 71, 70, 80, 20, 21, 26, 25, 22, 24]","(10.0, 1270.1330376914173)"
3,170,[  10.         1461.96583328],[ 0.         54.96586071],[  10.         1270.13303769],[  10.         1533.92778999],"[13, 17, 15, 18, 19, 14, 16, 12, 11, 10, 9, 8, 6, 28, 38, 37, 39, 35, 36, 33, 34, 32, 31, 29, 30, 52, 27, 40, 41, 42, 44, 45, 43, 46, 48, 47, 49, 50, 51, 68, 69, 64, 66, 61, 59, 67, 57, 55, 54, 53, 56, 58, 60, 72, 62, 74, 65, 63, 87, 86, 89, 88, 90, 84, 85, 83, 91, 82, 98, 75, 1, 2, 5, 95, 96, 94, 97, 93, 99, 92, 100, 4, 3, 7, 23, 78, 76, 81, 77, 79, 73, 71, 70, 80, 20, 21, 26, 25, 22, 24]","(10.0, 1270.1330376914173)"
4,164,[  10.         1441.78254465],[ 0.         47.25518966],[  10.         1270.13303769],[  10.         1503.58841528],"[13, 17, 15, 18, 19, 14, 16, 12, 11, 10, 9, 8, 6, 28, 38, 37, 39, 35, 36, 33, 34, 32, 31, 29, 30, 52, 27, 40, 41, 42, 44, 45, 43, 46, 48, 47, 49, 50, 51, 68, 69, 64, 66, 61, 59, 67, 57, 55, 54, 53, 56, 58, 60, 72, 62, 74, 65, 63, 87, 86, 89, 88, 90, 84, 85, 83, 91, 82, 98, 75, 1, 2, 5, 95, 96, 94, 97, 93, 99, 92, 100, 4, 3, 7, 23, 78, 76, 81, 77, 79, 73, 71, 70, 80, 20, 21, 26, 25, 22, 24]","(10.0, 1270.1330376914173)"
5,174,[  10.         1428.67496489],[ 0.         43.23277593],[  10.         1270.13303769],[  10.         1481.61125366],"[13, 17, 15, 18, 19, 14, 16, 12, 11, 10, 9, 8, 6, 28, 38, 37, 39, 35, 36, 33, 34, 32, 31, 29, 30, 52, 27, 40, 41, 42, 44, 45, 43, 46, 48, 47, 49, 50, 51, 68, 69, 64, 66, 61, 59, 67, 57, 55, 54, 53, 56, 58, 60, 72, 62, 74, 65, 63, 87, 86, 89, 88, 90, 84, 85, 83, 91, 82, 98, 75, 1, 2, 5, 95, 96, 94, 97, 93, 99, 92, 100, 4, 3, 7, 23, 78, 76, 81, 77, 79, 73, 71, 70, 80, 20, 21, 26, 25, 22, 24]","(10.0, 1270.1330376914173)"
6,172,[  10.         1416.69661718],[ 0.         40.79048257],[  10.         1270.13303769],[  10.        1464.7930486],"[13, 17, 15, 18, 19, 14, 16, 12, 11, 10, 9, 8, 6, 28, 38, 37, 39, 35, 36, 33, 34, 32, 31, 29, 30, 52, 27, 40, 41, 42, 44, 45, 43, 46, 48, 47, 49, 50, 51, 68, 69, 64, 66, 61, 59, 67, 57, 55, 54, 53, 56, 58, 60, 72, 62, 74, 65, 63, 87, 86, 89, 88, 90, 84, 85, 83, 91, 82, 98, 75, 1, 2, 5, 95, 96, 94, 97, 93, 99, 92, 100, 4, 3, 7, 23, 78, 76, 81, 77, 79, 73, 71, 70, 80, 20, 21, 26, 25, 22, 24]","(10.0, 1270.1330376914173)"
7,164,[  10.        1400.9455028],[ 0.         37.78708571],[  10.         1270.13303769],[  10.        1448.1226407],"[13, 17, 15, 18, 19, 14, 16, 12, 11, 10, 9, 8, 6, 28, 38, 37, 39, 35, 36, 33, 34, 32, 31, 29, 30, 52, 27, 40, 41, 42, 44, 45, 43, 46, 48, 47, 49, 50, 51, 68, 69, 64, 66, 61, 59, 67, 57, 55, 54, 53, 56, 58, 60, 72, 62, 74, 65, 63, 87, 86, 89, 88, 90, 84, 85, 83, 91, 82, 98, 75, 1, 2, 5, 95, 96, 94, 97, 93, 99, 92, 100, 4, 3, 7, 23, 78, 76, 81, 77, 79, 73, 71, 70, 80, 20, 21, 26, 25, 22, 24]","(10.0, 1270.1330376914173)"
8,170,[  10.         1387.82032226],[ 0.         39.37900984],[  10.         1266.94255375],[  10.         1425.26043499],"[53, 56, 54, 58, 60, 55, 57, 59, 68, 64, 61, 40, 41, 42, 43, 44, 46, 45, 47, 48, 49, 50, 51, 52, 69, 66, 67, 65, 62, 63, 72, 8, 9, 6, 7, 11, 10, 4, 3, 5, 1, 2, 75, 23, 13, 29, 26, 22, 20, 28, 73, 70, 77, 79, 76, 71, 78, 80, 81, 82, 83, 84, 86, 92, 93, 94, 97, 95, 96, 100, 99, 98, 85, 88, 91, 89, 17, 18, 15, 14, 16, 19, 12, 30, 27, 25, 21, 24, 39, 36, 38, 37, 34, 33, 32, 35, 31, 74, 87, 90]","(10.0, 1266.9425537520804)"
9,174,[  10.         1375.63077333],[ 0.         40.97235345],[  10.         1266.94255375],[  10.        1417.0450818],"[53, 56, 54, 58, 60, 55, 57, 59, 68, 64, 61, 40, 41, 42, 43, 44, 46, 45, 47, 48, 49, 50, 51, 52, 69, 66, 67, 65, 62, 63, 72, 8, 9, 6, 7, 11, 10, 4, 3, 5, 1, 2, 75, 23, 13, 29, 26, 22, 20, 28, 73, 70, 77, 79, 76, 71, 78, 80, 81, 82, 83, 84, 86, 92, 93, 94, 97, 95, 96, 100, 99, 98, 85, 88, 91, 89, 17, 18, 15, 14, 16, 19, 12, 30, 27, 25, 21, 24, 39, 36, 38, 37, 34, 33, 32, 35, 31, 74, 87, 90]","(10.0, 1266.9425537520804)"
