Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  10.         1588.37106592],[  0.        119.3437816],[  10.         1304.27994949],[  10.         1962.56767729],"[39, 36, 38, 37, 34, 33, 32, 35, 31, 29, 30, 27, 28, 23, 22, 26, 21, 25, 20, 24, 10, 11, 7, 8, 5, 3, 9, 6, 4, 12, 14, 16, 15, 13, 19, 17, 18, 2, 1, 75, 100, 41, 40, 42, 43, 44, 46, 45, 47, 48, 49, 50, 51, 68, 52, 69, 66, 64, 67, 61, 65, 62, 77, 79, 73, 78, 76, 80, 81, 70, 71, 82, 83, 84, 86, 96, 95, 97, 99, 94, 98, 93, 92, 91, 88, 85, 89, 90, 87, 60, 58, 56, 54, 53, 59, 57, 55, 72, 74, 63]","(10.0, 1304.27994949147)"
1,376,[  10.         1514.77519846],[ 0.         71.32040079],[  10.         1304.27994949],[  10.         1621.60721873],"[39, 36, 38, 37, 34, 33, 32, 35, 31, 29, 30, 27, 28, 23, 22, 26, 21, 25, 20, 24, 10, 11, 7, 8, 5, 3, 9, 6, 4, 12, 14, 16, 15, 13, 19, 17, 18, 2, 1, 75, 100, 41, 40, 42, 43, 44, 46, 45, 47, 48, 49, 50, 51, 68, 52, 69, 66, 64, 67, 61, 65, 62, 77, 79, 73, 78, 76, 80, 81, 70, 71, 82, 83, 84, 86, 96, 95, 97, 99, 94, 98, 93, 92, 91, 88, 85, 89, 90, 87, 60, 58, 56, 54, 53, 59, 57, 55, 72, 74, 63]","(10.0, 1304.27994949147)"
2,356,[  10.         1478.44520825],[ 0.         59.12735821],[  10.         1304.27994949],[  10.         1562.88199012],"[39, 36, 38, 37, 34, 33, 32, 35, 31, 29, 30, 27, 28, 23, 22, 26, 21, 25, 20, 24, 10, 11, 7, 8, 5, 3, 9, 6, 4, 12, 14, 16, 15, 13, 19, 17, 18, 2, 1, 75, 100, 41, 40, 42, 43, 44, 46, 45, 47, 48, 49, 50, 51, 68, 52, 69, 66, 64, 67, 61, 65, 62, 77, 79, 73, 78, 76, 80, 81, 70, 71, 82, 83, 84, 86, 96, 95, 97, 99, 94, 98, 93, 92, 91, 88, 85, 89, 90, 87, 60, 58, 56, 54, 53, 59, 57, 55, 72, 74, 63]","(10.0, 1304.27994949147)"
3,368,[  10.         1449.13053418],[ 0.         49.76206182],[  10.         1304.27994949],[  10.         1517.54981554],"[39, 36, 38, 37, 34, 33, 32, 35, 31, 29, 30, 27, 28, 23, 22, 26, 21, 25, 20, 24, 10, 11, 7, 8, 5, 3, 9, 6, 4, 12, 14, 16, 15, 13, 19, 17, 18, 2, 1, 75, 100, 41, 40, 42, 43, 44, 46, 45, 47, 48, 49, 50, 51, 68, 52, 69, 66, 64, 67, 61, 65, 62, 77, 79, 73, 78, 76, 80, 81, 70, 71, 82, 83, 84, 86, 96, 95, 97, 99, 94, 98, 93, 92, 91, 88, 85, 89, 90, 87, 60, 58, 56, 54, 53, 59, 57, 55, 72, 74, 63]","(10.0, 1304.27994949147)"
4,372,[  10.         1430.10138163],[ 0.         43.72508062],[  10.         1304.27994949],[  10.         1489.52551919],"[39, 36, 38, 37, 34, 33, 32, 35, 31, 29, 30, 27, 28, 23, 22, 26, 21, 25, 20, 24, 10, 11, 7, 8, 5, 3, 9, 6, 4, 12, 14, 16, 15, 13, 19, 17, 18, 2, 1, 75, 100, 41, 40, 42, 43, 44, 46, 45, 47, 48, 49, 50, 51, 68, 52, 69, 66, 64, 67, 61, 65, 62, 77, 79, 73, 78, 76, 80, 81, 70, 71, 82, 83, 84, 86, 96, 95, 97, 99, 94, 98, 93, 92, 91, 88, 85, 89, 90, 87, 60, 58, 56, 54, 53, 59, 57, 55, 72, 74, 63]","(10.0, 1304.27994949147)"
5,362,[  10.         1410.41666802],[ 0.         37.91603626],[  10.         1304.27994949],[  10.         1465.03826021],"[39, 36, 38, 37, 34, 33, 32, 35, 31, 29, 30, 27, 28, 23, 22, 26, 21, 25, 20, 24, 10, 11, 7, 8, 5, 3, 9, 6, 4, 12, 14, 16, 15, 13, 19, 17, 18, 2, 1, 75, 100, 41, 40, 42, 43, 44, 46, 45, 47, 48, 49, 50, 51, 68, 52, 69, 66, 64, 67, 61, 65, 62, 77, 79, 73, 78, 76, 80, 81, 70, 71, 82, 83, 84, 86, 96, 95, 97, 99, 94, 98, 93, 92, 91, 88, 85, 89, 90, 87, 60, 58, 56, 54, 53, 59, 57, 55, 72, 74, 63]","(10.0, 1304.27994949147)"
6,374,[  10.         1399.27160855],[ 0.        33.1778348],[  10.         1304.27994949],[  10.         1447.37558796],"[39, 36, 38, 37, 34, 33, 32, 35, 31, 29, 30, 27, 28, 23, 22, 26, 21, 25, 20, 24, 10, 11, 7, 8, 5, 3, 9, 6, 4, 12, 14, 16, 15, 13, 19, 17, 18, 2, 1, 75, 100, 41, 40, 42, 43, 44, 46, 45, 47, 48, 49, 50, 51, 68, 52, 69, 66, 64, 67, 61, 65, 62, 77, 79, 73, 78, 76, 80, 81, 70, 71, 82, 83, 84, 86, 96, 95, 97, 99, 94, 98, 93, 92, 91, 88, 85, 89, 90, 87, 60, 58, 56, 54, 53, 59, 57, 55, 72, 74, 63]","(10.0, 1304.27994949147)"
7,354,[  10.         1385.53272385],[ 0.         29.01209512],[  10.         1304.27994949],[  10.         1424.90059505],"[39, 36, 38, 37, 34, 33, 32, 35, 31, 29, 30, 27, 28, 23, 22, 26, 21, 25, 20, 24, 10, 11, 7, 8, 5, 3, 9, 6, 4, 12, 14, 16, 15, 13, 19, 17, 18, 2, 1, 75, 100, 41, 40, 42, 43, 44, 46, 45, 47, 48, 49, 50, 51, 68, 52, 69, 66, 64, 67, 61, 65, 62, 77, 79, 73, 78, 76, 80, 81, 70, 71, 82, 83, 84, 86, 96, 95, 97, 99, 94, 98, 93, 92, 91, 88, 85, 89, 90, 87, 60, 58, 56, 54, 53, 59, 57, 55, 72, 74, 63]","(10.0, 1304.27994949147)"
8,348,[  10.        1375.1078727],[ 0.         26.79996917],[  10.         1304.27994949],[  10.         1412.74482757],"[39, 36, 38, 37, 34, 33, 32, 35, 31, 29, 30, 27, 28, 23, 22, 26, 21, 25, 20, 24, 10, 11, 7, 8, 5, 3, 9, 6, 4, 12, 14, 16, 15, 13, 19, 17, 18, 2, 1, 75, 100, 41, 40, 42, 43, 44, 46, 45, 47, 48, 49, 50, 51, 68, 52, 69, 66, 64, 67, 61, 65, 62, 77, 79, 73, 78, 76, 80, 81, 70, 71, 82, 83, 84, 86, 96, 95, 97, 99, 94, 98, 93, 92, 91, 88, 85, 89, 90, 87, 60, 58, 56, 54, 53, 59, 57, 55, 72, 74, 63]","(10.0, 1304.27994949147)"
9,362,[  10.         1366.28929221],[ 0.         25.13074547],[  10.         1303.62678775],[  10.        1399.3226586],"[39, 36, 38, 37, 34, 33, 32, 35, 31, 29, 30, 27, 28, 23, 22, 26, 21, 25, 20, 24, 10, 11, 8, 7, 5, 3, 9, 6, 4, 12, 14, 16, 15, 13, 19, 17, 18, 2, 1, 75, 100, 41, 40, 42, 43, 44, 46, 45, 47, 48, 49, 50, 51, 68, 52, 69, 66, 64, 67, 61, 65, 62, 77, 79, 73, 78, 76, 80, 81, 70, 71, 82, 83, 84, 86, 96, 95, 97, 99, 94, 98, 93, 92, 91, 88, 85, 89, 90, 87, 60, 58, 56, 54, 53, 59, 57, 55, 72, 74, 63]","(10.0, 1303.6267877452447)"
