a101

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE   TIME
 
0	5.00 	5.00 	0	0	240	3
1	5.94 	8.94 	23	0	10	3
2	5.53 	3.99 	14	0	10	3
3	2.38 	4.03 	16	0	10	3
4	5.68 	9.84 	32	0	10	3
5	3.95 	8.98 	10	0	10	3
6	5.23 	7.70 	20	0	10	3
7	2.38 	7.33 	33	0	10	3
8	2.75 	10.48 	10	0	10	3
9	3.95 	8.98 	30	0	10	3
10	8.30 	7.96 	28	0	10	3
11	6.16 	9.80 	40	10	20	3
12	5.00 	9.50 	40	10	20	3
13	4.63 	9.43 	20	10	20	3
14	7.21 	10.55 	22	10	20	3
15	5.68 	9.84 	20	10	20	3
16	5.75 	7.03 	20	20	30	3
17	7.36 	9.88 	10	20	30	3
18	4.45 	6.84 	21	20	30	3
19	1.14 	11.04 	20	20	30	3
20	2.41 	7.29 	43	20	30	3
21	9.95 	10.63 	15	10	30	3
22	5.94 	8.41 	40	20	30	3
23	6.91 	9.28 	10	20	30	3
24	6.20 	8.00 	10	20	30	3
25	5.64 	8.90 	26	20	30	3
26	7.21 	7.93 	10	40	50	3
27	4.55 	9.91 	25	40	50	3
28	5.56 	5.90 	20	40	50	3
29	5.22 	7.70 	41	40	50	3
30	6.69 	4.96 	20	40	50	3
