25	200	1
0	7.00 	7.00 	0	0	240	0	0	0
1	5.94 	8.94 	-23	0	0	2	31	0
2	5.53 	3.99 	-14	0	0	2	32	0
3	2.38 	4.03 	-16	0	0	2	33	0
4	5.68 	10.84 	-32	0	0	2	34	0
5	3.95 	8.98 	-10	0	0	2	35	0
6	5.23 	7.70 	-20	0	0	2	36	0
7	2.38 	7.33 	-33	0	0	2	37	0
8	2.75 	10.48 	-10	0	0	2	38	0
9	4.95 	8.98 	-30	0	0	2	39	0
10	8.30 	7.96 	-28	0	0	2	40	0
11	6.16 	9.80 	-40	0	0	2	41	0
12	5.00 	9.50 	-40	0	0	2	42	0
13	4.63 	9.43 	-20	0	0	2	43	0
14	7.21 	10.55 	-22	0	0	2	44	0
15	5.68 	9.84 	-20	0	0	2	45	0
16	5.75 	7.03 	-20	0	0	2	46	0
17	7.36 	9.88 	-10	0	0	2	47	0
18	4.45 	6.84 	-21	0	0	2	48	0
19	1.14 	11.04 	-20	0	0	2	49	0
20	2.41 	7.29 	-43	0	0	2	50	0
21	9.95 	10.63 	-15	0	0	2	51	0
22	5.94 	8.41 	-40	0	0	2	52	0
23	6.91 	9.28 	-10	0	0	2	53	0
24	6.20 	8.00 	-10	0	0	2	54	0
25	5.64 	8.90 	-26	0	0	2	55	0
26	7.21 	7.93 	-10	0	0	2	56	0
27	4.55 	9.91 	-25	0	0	2	57	0
28	5.56 	5.90 	-20	0	0	2	58	0
29	5.22 	7.70 	-41	0	0	2	59	0
30	6.69 	4.96 	-20	0	0	2	60	0
31	8.34	9.35	23	0	10	2	0	1
32	1.89	4.51	14	0	10	2	0	2
33	3.35	5.38	16	0	10	2	0	3
34	5.11	7.29	32	0	10	2	0	4
35	2.08	5.79	10	0	10	2	0	5
36	4.44	8.41	20	0	20	2	0	6
37	5.61	7.29	33	0	20	2	0	7
38	9.05	6.2	10	0	20	2	0	8
39	2.04	10.44	30	0	20	2	0	9
40	6.58	8.71	28	0	20	2	0	10
41	3.95	10.66	40	0	30	2	0	11
42	2.79	6.13	40	0	30	2	0	12
43	2.34	7.1	20	0	30	2	0	13
44	4.29	8.3	22	0	30	2	0	14
45	4.3	8.3	20	0	30	2	0	15
46	6.43	6.5	20	15	30	2	0	16
47	4.51	10.85	10	15	30	2	0	17
48	6.73	4.63	21	15	30	2	0	18
49	2.19	8.68	20	15	30	2	0	19
50	0.43	6.13	43	15	30	2	0	20
51	7.06	8.94	15	25	40	2	0	21
52	8.56	9.73	40	25	40	2	0	22
53	8.11	9.43	10	25	40	2	0	23
54	8.64	10.03	10	25	40	2	0	24
55	2.83	6.16	26	25	40	2	0	25
56	8.19	6.73	10	35	50	2	0	26
57	4.7	6.84	25	35	50	2	0	27
58	8.04	9.59	20	35	50	2	0	28
59	8.07	9.54	41	35	50	2	0	29
60	2.9	4.81	20	35	50	2	0	30
